TestSite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
S12-144-2013,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,S2-129-2007,S2-129-2010,S2-129-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,,,,,,
S12-151-2013,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,S2-129-2007,S2-129-2010,S2-129-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,,,,,,
S12-152-2005,S12-151-2005,S12-151-2009,S12-151-2011,S12-216-2009,S12-216-2011,S2-21-2007,S2-21-2010,S2-129-2007,S2-129-2010,S2-129-2012,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,,,,,,
S12-152-2009,S12-216-2009,S12-216-2011,S4-2-2007,S4-2-2008,S4-2-2010,S4-2-2012,S12-151-2005,S12-151-2009,S12-151-2011,S2-21-2007,S2-21-2010,,,,,,,,,
S12-152-2011,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,,,,,,,,,,,,,,
S12-152-2013,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,,,,,,,,,,,,,,
S12-205-2007,S12-40-2005,S12-40-2009,S12-40-2011,S2-129-2007,S2-129-2010,S2-129-2012,,,,,,,,,,,,,,
S12-205-2008,S2-129-2007,S2-129-2010,S2-129-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,,,,
S12-205-2009,S2-129-2007,S2-129-2010,S2-129-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,,,,
S12-205-2013,S2-129-2007,S2-129-2010,S2-129-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,,,,
S12-216-2013,S2-129-2007,S2-129-2010,S2-129-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,,,,
S12-255-2009,S12-30-2005,S12-30-2009,S12-30-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,,,,,,,,,,,
S12-255-2011,S2-57-2007,S2-57-2010,S2-57-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,,,,,,,
